[1mTotal memory size:[0m 393216 B, 384 KiB, 0 MiB

[1m Step     Time Std, s     Time Opt, s  Interact/s Std  Interact/s Opt     GFLOP/s Std     GFLOP/s Opt[0m
    0       3.820e+00       0.000e+00       7.027e+07       0.000e+00             1.2             0.0
    1       3.847e+00       0.000e+00       6.977e+07       0.000e+00             1.2             0.0
    2       3.752e+00       0.000e+00       7.154e+07       0.000e+00             1.2             0.0
    3       3.827e+00       0.000e+00       7.014e+07       0.000e+00             1.2             0.0
    4       3.833e+00       0.000e+00       7.004e+07       0.000e+00             1.2             0.0
    5       3.822e+00       0.000e+00       7.024e+07       0.000e+00             1.2             0.0
    6       3.875e+00       0.000e+00       6.927e+07       0.000e+00             1.2             0.0
    7       3.833e+00       0.000e+00       7.004e+07       0.000e+00             1.2             0.0
    8       3.922e+00       0.000e+00       6.844e+07       0.000e+00             1.2             0.0
    9       3.908e+00       0.000e+00       6.868e+07       0.000e+00             1.2             0.0
   10       4.073e+00       0.000e+00       6.590e+07       0.000e+00             1.1             0.0
   11       3.902e+00       0.000e+00       6.880e+07       0.000e+00             1.2             0.0
   12       3.981e+00       0.000e+00       6.743e+07       0.000e+00             1.1             0.0
    0       0.000e+00       1.369e-01       0.000e+00       1.961e+09             0.0            33.3
    1       0.000e+00       1.327e-01       0.000e+00       2.023e+09             0.0            34.4
    2       0.000e+00       1.356e-01       0.000e+00       1.980e+09             0.0            33.7
    3       0.000e+00       1.341e-01       0.000e+00       2.002e+09             0.0            34.0
    4       0.000e+00       1.348e-01       0.000e+00       1.992e+09             0.0            33.9
    5       0.000e+00       1.342e-01       0.000e+00       2.000e+09             0.0            34.0
    6       0.000e+00       1.351e-01       0.000e+00       1.987e+09             0.0            33.8
    7       0.000e+00       1.354e-01       0.000e+00       1.983e+09             0.0            33.7
    8       0.000e+00       1.430e-01       0.000e+00       1.877e+09             0.0            31.9
    9       0.000e+00       1.816e-01       0.000e+00       1.478e+09             0.0            25.1
   10       0.000e+00       1.504e-01       0.000e+00       1.785e+09             0.0            30.4
   11       0.000e+00       1.343e-01       0.000e+00       1.998e+09             0.0            34.0
   12       0.000e+00       1.354e-01       0.000e+00       1.983e+09             0.0            33.7
-----------------------------------------------------
[1mStandard Version Performance: [0m       1.2 +- 0.0 GFLOP/s
[1mOptimized Version Performance: [0m      32.4 +- 2.7 GFLOP/s
-----------------------------------------------------
