[1mTotal memory size:[0m 393216 B, 384 KiB, 0 MiB

[1m Step     Time Std, s     Time Opt, s  Interact/s Std  Interact/s Opt     GFLOP/s Std     GFLOP/s Opt[0m
    0       2.438e-01       0.000e+00       1.101e+09       0.000e+00            18.7             0.0
    1       2.474e-01       0.000e+00       1.085e+09       0.000e+00            18.4             0.0
    2       2.620e-01       0.000e+00       1.024e+09       0.000e+00            17.4             0.0
    3       2.421e-01       0.000e+00       1.109e+09       0.000e+00            18.9             0.0
    4       2.422e-01       0.000e+00       1.108e+09       0.000e+00            18.8             0.0
    5       2.514e-01       0.000e+00       1.068e+09       0.000e+00            18.2             0.0
    6       2.647e-01       0.000e+00       1.014e+09       0.000e+00            17.2             0.0
    7       2.529e-01       0.000e+00       1.061e+09       0.000e+00            18.0             0.0
    8       2.380e-01       0.000e+00       1.128e+09       0.000e+00            19.2             0.0
    9       2.415e-01       0.000e+00       1.112e+09       0.000e+00            18.9             0.0
   10       2.539e-01       0.000e+00       1.057e+09       0.000e+00            18.0             0.0
   11       2.383e-01       0.000e+00       1.126e+09       0.000e+00            19.1             0.0
   12       2.540e-01       0.000e+00       1.057e+09       0.000e+00            18.0             0.0
    0       0.000e+00       1.769e-01       0.000e+00       1.518e+09             0.0            25.8
    1       0.000e+00       1.524e-01       0.000e+00       1.761e+09             0.0            29.9
    2       0.000e+00       1.520e-01       0.000e+00       1.766e+09             0.0            30.0
    3       0.000e+00       1.665e-01       0.000e+00       1.612e+09             0.0            27.4
    4       0.000e+00       1.462e-01       0.000e+00       1.836e+09             0.0            31.2
    5       0.000e+00       1.897e-01       0.000e+00       1.415e+09             0.0            24.1
    6       0.000e+00       2.143e-01       0.000e+00       1.253e+09             0.0            21.3
    7       0.000e+00       1.573e-01       0.000e+00       1.707e+09             0.0            29.0
    8       0.000e+00       1.374e-01       0.000e+00       1.953e+09             0.0            33.2
    9       0.000e+00       1.259e-01       0.000e+00       2.133e+09             0.0            36.3
   10       0.000e+00       1.275e-01       0.000e+00       2.106e+09             0.0            35.8
   11       0.000e+00       1.368e-01       0.000e+00       1.962e+09             0.0            33.4
   12       0.000e+00       1.307e-01       0.000e+00       2.053e+09             0.0            34.9
-----------------------------------------------------
[1mStandard Version Performance: [0m      18.4 +- 0.6 GFLOP/s
[1mOptimized Version Performance: [0m      30.7 +- 4.8 GFLOP/s
-----------------------------------------------------
