Total memory size: 393216 B, 384 KiB, 0 MiB

 Step    Time, s Interact/s  GFLOP/s
    0  5.949e+00  4.512e+07      0.8 (warm up)
    1  5.956e+00  4.507e+07      0.8 (warm up)
    2  5.996e+00  4.477e+07      0.8 (warm up)
    3  6.008e+00  4.468e+07      0.8
    4  5.939e+00  4.520e+07      0.8
    5  5.977e+00  4.491e+07      0.8
    6  5.977e+00  4.491e+07      0.8
    7  5.982e+00  4.487e+07      0.8
    8  5.972e+00  4.495e+07      0.8
    9  5.965e+00  4.500e+07      0.8
   10  5.902e+00  4.548e+07      0.8
   11  5.933e+00  4.524e+07      0.8
   12  5.975e+00  4.493e+07      0.8
-----------------------------------------------------
Average performance:             0.8 +- 0.0 GFLOP/s
-----------------------------------------------------
