[1mTotal memory size:[0m 393216 B, 384 KiB, 0 MiB

[1m Step     Time Std, s     Time Opt, s  Interact/s Std  Interact/s Opt     GFLOP/s Std     GFLOP/s Opt[0m
    0       8.220e-01       0.000e+00       3.266e+08       0.000e+00             5.6             0.0
    1       8.282e-01       0.000e+00       3.241e+08       0.000e+00             5.5             0.0
    2       8.233e-01       0.000e+00       3.261e+08       0.000e+00             5.5             0.0
    3       8.220e-01       0.000e+00       3.266e+08       0.000e+00             5.6             0.0
    4       8.266e-01       0.000e+00       3.247e+08       0.000e+00             5.5             0.0
    5       8.267e-01       0.000e+00       3.247e+08       0.000e+00             5.5             0.0
    6       8.206e-01       0.000e+00       3.271e+08       0.000e+00             5.6             0.0
    7       8.276e-01       0.000e+00       3.244e+08       0.000e+00             5.5             0.0
    8       8.186e-01       0.000e+00       3.279e+08       0.000e+00             5.6             0.0
    9       8.176e-01       0.000e+00       3.283e+08       0.000e+00             5.6             0.0
   10       8.185e-01       0.000e+00       3.280e+08       0.000e+00             5.6             0.0
   11       8.239e-01       0.000e+00       3.258e+08       0.000e+00             5.5             0.0
   12       8.278e-01       0.000e+00       3.243e+08       0.000e+00             5.5             0.0
    0       0.000e+00       1.150e-01       0.000e+00       2.333e+09             0.0            39.7
    1       0.000e+00       1.161e-01       0.000e+00       2.311e+09             0.0            39.3
    2       0.000e+00       1.168e-01       0.000e+00       2.298e+09             0.0            39.1
    3       0.000e+00       1.211e-01       0.000e+00       2.216e+09             0.0            37.7
    4       0.000e+00       1.185e-01       0.000e+00       2.265e+09             0.0            38.5
    5       0.000e+00       1.227e-01       0.000e+00       2.189e+09             0.0            37.2
    6       0.000e+00       1.181e-01       0.000e+00       2.272e+09             0.0            38.6
    7       0.000e+00       1.193e-01       0.000e+00       2.250e+09             0.0            38.3
    8       0.000e+00       1.193e-01       0.000e+00       2.249e+09             0.0            38.2
    9       0.000e+00       1.222e-01       0.000e+00       2.197e+09             0.0            37.3
   10       0.000e+00       1.199e-01       0.000e+00       2.239e+09             0.0            38.1
   11       0.000e+00       1.206e-01       0.000e+00       2.226e+09             0.0            37.8
   12       0.000e+00       1.205e-01       0.000e+00       2.229e+09             0.0            37.9
-----------------------------------------------------
[1mStandard Version Performance: [0m       5.5 +- 0.0 GFLOP/s
[1mOptimized Version Performance: [0m      38.0 +- 0.4 GFLOP/s
-----------------------------------------------------
